country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0001,GASCADE,ITP-00247,Greifswald / NEL,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0001,GASCADE,ITP-00251,Greifswald / OPAL,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0005,GUD,ITP-00491,GREIFSWALD,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0020,LBTG,ITP-00454,Lubmin (regulated),,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0016,OPAL,ITP-00251,Greifswald-OPAL,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0017,NEL,ITP-00247,Greifswald-NEL,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0018,Fluxys Deutschland,ITP-00297,Greifswald,,,Jun  5 2024  6:23PM
RU,ITP-00178,Belgorod (RU)/ Ukraine (UA),False,109.12,-20.34,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00178,Belgorod,,,Jun  5 2024  6:23PM
RU,ITP-00182,Serebryanka (RU) / Ukraine (UA),False,120.15,-24.24,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00182,Serebrianka,,,Jun  5 2024  6:23PM
RU,ITP-00180,Platovo (RU) / Ukraine (UA),False,116.19,-40.48,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00180,Platovo,,,Jun  5 2024  6:23PM
RU,ITP-00179,Pisarevka (RU)/Ukraine (UA),False,123.88,-25.52,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00179,Pysarivka,,,Jun  5 2024  6:23PM
RU,ITP-00183,Sokhranovka (RU) / Ukraine (UA),False,125.99,-26.19,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00183,Sokhranivka,,,Jun  5 2024  6:23PM
RU,ITP-00185,Valuyki (RU) / Ukraine (UA),False,114.87,-22.88,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00185,Valuiky,,,Jun  5 2024  6:23PM
RU,ITP-00184,Sudzha (RU) / Ukraine (UA),False,100.24,-13.71,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00184,Sudja,,,Jun  5 2024  6:23PM
RU,ITP-00187,Värska,False,60.69,42.03,Transmission,Transmission,RU,Russia,Joint Bal Zone EE/LV,Transmission,EE,Estonia,EE-TSO-0001,Elering,ITP-00187,Värska,,,Jun  5 2024  6:23PM
RU,ITP-00181,Prokhorovka (RU) / Ukraine (UA),False,122.39,-37.61,Transmission,Transmission,RU,Russia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00181,Prokhorovka,,,Jun  5 2024  6:23PM
RU,ITP-00243,Narva,False,63.59,52.75,Transmission,Transmission,RU,Russia,Joint Bal Zone EE/LV,Transmission,EE,Estonia,EE-TSO-0001,Elering,ITP-00243,Narva,,,Jun  5 2024  6:23PM
RU,ITP-00493,Luhamaa,False,59.5,40.04,Transmission,Transmission,RU,Russia,Transmission,Transmission,EE,Estonia,EE-TSO-0001,Elering,ITP-00493,Luhamaa,,,Jun  5 2024  6:23PM
