,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url
64,DIS-00077,Bishop Auckland,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00077,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
65,DIS-00078,Blaby,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00078,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
66,DIS-00079,Blackrod,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00079,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
67,DIS-00080,Blyborough,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00080,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
68,DIS-00081,Braishfield A,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00081,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
69,DIS-00082,Braishfield B,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00082,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
70,DIS-00083,Brisley,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00083,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
71,DIS-00084,Broxburn,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00084,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
72,DIS-00085,Burley Bank,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00085,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
73,DIS-00086,Caldecott,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00086,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
74,DIS-00087,Careston,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00087,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
75,DIS-00088,Cirencester,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00088,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
76,DIS-00089,Coffinswell,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00089,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
77,DIS-00090,Coldstream,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00090,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
78,DIS-00091,Corbridge,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00091,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
79,DIS-00092,Cowpen Bewley,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00092,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
80,DIS-00093,Dowlais,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00093,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
